,video_id,frame_seq,m1,time_seconds,m3,m4,m5,m6,m7,m8,m9,m10,m11,m12,m13,m14,m15,m16,m17,e1,e2,e3,b1,b2,b3
0,2,1,10.44030650891055,0.0333666666666666,89.49860334105779,6.082762530298219,17.46424919657298,24.73863375370596,26.248809496813376,24.186773244895647,58.05170109479997,40.607881008493905,35.0,12.0,33.0,1.5,34.5,11.5,8.5,9.848857801796104,9.0,9.0,53.0,26.0,38.600518131237564
1,2,2,10.198039027185569,0.0667333333333332,90.70832376358854,7.280109889280518,17.26267650163207,27.459060435491963,29.832867780352597,24.331050121192877,59.033888572581766,41.773197148410844,36.0,14.0,36.0,1.0,33.0,9.0,6.0,8.94427190999916,8.246211251235321,7.5,52.0,28.0,43.174066289845804
2,2,3,10.198039027185569,0.1000999999999998,91.78235124467012,6.324555320336759,17.26267650163207,27.294688127912362,29.614185789921695,25.179356624028344,58.855755878248644,41.593268686170845,36.0,18.0,36.0,2.0,31.0,9.0,4.0,8.94427190999916,8.06225774829855,8.0,50.0,29.0,47.38143096192854
3,2,4,5.0990195135927845,0.1334666666666664,89.26925562588724,9.055385138137417,19.1049731745428,28.284271247461902,30.59411708155671,26.1725046566048,59.413803110051795,40.311288741492746,37.5,22.0,37.0,3.5,29.5,5.5,4.5,10.770329614269007,10.0,10.0,56.0,34.0,51.478150704935004
4,2,5,6.324555320336759,0.166833333333333,91.2414379544733,8.06225774829855,17.11724276862369,27.16615541441225,28.284271247461902,26.1725046566048,57.55866572463264,40.44749683231337,37.0,23.0,38.0,4.5,26.5,4.5,3.5,9.486832980505138,9.055385138137417,9.5,52.0,37.0,49.25444142409901
5,2,6,5.0990195135927845,0.2001999999999996,91.44397191723465,8.0,16.1245154965971,26.1725046566048,27.16615541441225,27.073972741361768,56.22277118748239,40.11234224026316,37.5,26.0,35.0,3.5,25.5,4.5,3.5,7.280109889280518,7.0,7.0,48.0,35.0,43.56604182158393
6,2,7,3.1622776601683795,0.2335666666666662,90.27181176868004,9.0,17.029386365926403,27.073972741361768,28.160255680657446,28.160255680657446,57.21887800367987,40.19950248448356,38.5,31.0,38.0,6.5,22.5,1.5,1.5,11.40175425099138,11.0,11.0,48.0,38.0,47.16990566028302
7,2,8,4.123105625617661,0.2669333333333328,87.36704184073076,9.0,17.029386365926403,25.079872407968907,26.1725046566048,28.071337695236398,58.137767414994535,41.10960958218893,39.0,31.0,39.0,7.0,23.0,3.0,1.0,13.341664064126334,13.0,13.0,48.0,38.0,48.25971404805462
8,2,9,2.23606797749979,0.3002999999999994,90.27181176868004,10.0,18.0,28.0178514522438,30.066592756745816,29.154759474226502,59.135437767890075,41.19465984809196,40.0,33.0,40.0,7.5,22.5,0.5,0.5,10.198039027185569,11.045361017187261,11.0,49.0,42.0,55.14526271584895
9,2,10,4.123105625617661,0.333666666666666,92.13576938409967,11.0,21.0,29.017236257093817,30.01666203960727,29.154759474226502,65.12296062065974,44.181444068749045,42.0,34.0,39.0,7.5,28.5,3.5,1.5,13.341664064126334,13.038404810405298,13.0,50.0,43.0,53.08483775994799
