,video_id,frame_seq,gap,time_seconds,m1,m3,m4,m5,m6,m7,m8,m9,m10,m11,m12,m13,m14,m15,m16,m17,e1,e2,e3,b1,b2,b3
0,1,11,1,0.4587916666666662,3.9599593462760367,37.63263771723766,3.500142633718546,5.960528124544424,9.417920621036764,10.394893283974625,9.912265514004423,23.312106115165985,17.35308451133913,15.34484246681967,12.869867875397148,11.879878038828139,2.474974591422523,10.889888202259101,4.454954264560541,0.0,5.444944101129565,5.467397574125477,5.444944101129565,12.869867875397134,14.354852630250647,14.849847548535195
1,1,12,0,0.5004999999999996,3.482199227149408,37.819823175073324,3.025912997419691,6.48604616486495,9.464765537849482,10.458435189700861,10.493867595628226,23.465001290706944,16.979251352488063,15.172439489722478,12.933882843697859,11.938968778798028,1.9898281297996618,10.944054713898169,3.9796562595993237,0.0,5.4945925139479685,5.4945925139479685,5.472027356949084,12.933882843697845,13.928796908597675,15.918625038397352
2,1,13,0,0.542208333333333,2.985037684472985,38.80548989814889,3.0262125631067365,5.97007536894597,9.96255550809477,10.945138176400974,9.504844147809335,21.444771480486907,15.494745057592352,13.930175860873987,9.452619334164496,9.452619334164496,0.0,11.94015073789194,5.4725690882004585,1.99002512298199,5.4951364791521575,5.4951364791521575,5.472569088200487,14.427682141619457,14.925188422364954,16.417707264601404
3,1,14,0,0.5839166666666663,3.4825870646766077,40.29850746268653,2.487562189054728,5.472636815920396,10.459600020710766,10.945273631840791,9.569842816751922,20.948759474057017,15.49493681830591,13.68159203980099,7.462686567164184,7.462686567164184,1.990049751243788,13.43283582089552,6.965174129353244,3.4825870646766077,4.999938119960644,4.999938119960644,4.975124378109456,15.422885572139307,15.422885572139307,15.422885572139307
4,1,15,0,0.6256249999999997,4.999937501171843,44.51067815691253,1.999975000468737,5.499931251289041,11.011220133381205,12.010262022127364,8.55851440355043,21.023533249105466,15.532030417842261,12.999837503046791,4.499943751054673,5.499931251289041,3.499956250820304,15.999800003749925,8.999887502109345,4.999937501171843,5.098955777043923,4.527635973972759,4.749940626113258,14.999812503515557,14.999812503515557,14.999812503515557
5,1,16,0,0.667333333333333,6.020722030841117,46.52360571637562,1.999975000468737,5.499931251289041,11.510720550113694,13.009449214158868,7.566278397321925,21.005688968128947,15.507868572125199,12.499843752929621,2.9999625007031057,4.499943751054673,3.749953125878875,17.249784379042865,10.249871877402285,4.7499406261132435,5.024875000015516,4.527635973972759,4.749940626113258,14.999812503515543,15.499806253632727,16.499793753867152
6,1,17,0,0.7090416666666663,8.055787505747677,47.27833165850823,2.010024872955455,5.527568400627445,11.601256921710148,13.10375898628818,7.053010873069567,22.612779820748614,17.08521142012117,13.065161674210316,3.015037309433154,5.025062182388581,3.0150373094331258,18.592730074837732,11.557643019493725,4.020049745910853,4.632878419119271,4.550387340461787,4.522555964149717,15.577692765404592,16.080198983643456,17.092599619999543
7,1,18,0,0.7507499999999997,11.673773378985516,49.243334284515534,3.55288755012603,6.111775923236588,13.206196544927852,13.71339078851178,5.606132234944545,26.900434308097033,20.815958715752505,14.972883246959668,7.105775100252032,8.120885828859485,2.0302214572148785,19.287103843541274,11.673773378985516,1.015110728607425,4.596109302697801,4.596109302697801,4.567998278733455,16.74932702202267,16.74932702202267,18.27904113568385
8,1,19,0,0.792458333333333,11.734541148677835,49.00286402886008,3.0611846474811557,6.652160772209568,12.765135901678963,13.78477577656003,5.127420826745098,26.530266944836825,19.90424012670351,14.030429634288708,5.612171853715466,7.142764177456058,1.2754936031171553,20.15279892925105,11.989639869301271,1.2754936031171553,4.113343273854615,4.0815795299748885,4.081579529974903,17.346713002393315,17.346713002393315,18.367107884887048
9,1,20,0,0.8341666666666664,11.22434370743099,48.989582319975696,3.571382088728029,7.160962332243089,13.265133472418427,14.294636120169445,5.127420826745098,27.0404643860837,19.904240126703538,14.285528354912145,6.632566736209213,7.652961618702932,2.0407897649874656,19.89770020862761,11.734541148677835,0.5101974412468451,4.620034326982577,4.113343273854602,4.081579529974903,17.346713002393315,17.346713002393315,18.367107884887048
10,1,21,0,0.8758749999999997,11.339603608123724,49.492643749700356,4.123492221135905,7.216111386987848,12.885913191049724,14.432222773975639,6.206677696965292,28.869047292986224,21.65446944071284,15.978532356901638,8.24698444227181,9.277857497555772,2.5771826382099334,20.102024578037543,11.855040135765734,0.515436527641981,4.752089981507986,4.155582138737714,4.381210484956895,17.52484193982761,18.04027846746959,18.5557149951116
11,1,22,0,0.9175833333333332,11.855670103092791,48.97178505778812,4.123711340206171,7.234880849287721,12.896903096079196,13.917525773195905,5.763061797679874,28.870581371011212,21.674016537761478,15.721649484536073,8.762886597938149,9.278350515463927,3.3505154639175316,19.845360824742244,11.597938144329873,0.25773195876288924,4.7523425037592135,4.123711340206185,4.381443298969089,18.04123711340206,18.04123711340206,20.103092783505133
12,1,23,0,0.9592916666666664,11.224489795918373,48.472072965361725,4.081632653061234,7.142857142857139,13.265306122448976,13.784955189904379,6.206900541120632,28.5896443390243,21.452853103702708,15.816326530612258,9.18367346938777,9.693877551020421,3.3163265306122582,19.132653061224488,10.969387755102048,0.25510204081632537,4.6200944582333685,4.113396810356398,4.08163265306122,16.326530612244895,16.836734693877546,17.85714285714289
