,frame_seq,video_id,gap,time_seconds,m1,m3,m4,m5,m6,m7,m8,m9,m10,m11,m12,m13,m14,m15,m16,m17,e1,e2,e3,b1,b2,b3,m_0_16,m_1_15,m_2_14,m_3_13,label_measures
0,0,41,0,0.0,41.73444767687662,171.2922956384617,23.679391415317284,33.864418062380324,48.48385138777113,54.07479311789648,34.25549661824996,133.3814250897376,99.52433949856868,78.63259800302035,70.19283571642882,76.13929791003284,39.07340709104301,60.19622407600036,23.534177638269057,14.848597032650671,28.18036204091754,27.24189625914205,27.15999784391647,80.44111849300418,76.44364440025652,98.22205380320707,400.0,393.214195279968,377.4512616296936,357.18534081171777,{}
1,1,41,0,0.0333333333333333,41.73444767687662,171.2922956384617,23.679391415317284,33.864418062380324,48.48385138777113,54.07479311789648,34.25549661824996,133.3814250897376,99.52433949856868,78.63259800302035,70.19283571642882,76.13929791003284,39.07340709104301,60.19622407600036,23.534177638269057,14.848597032650671,28.18036204091754,27.24189625914205,27.15999784391647,80.44111849300418,76.44364440025652,98.22205380320707,400.0,393.214195279968,377.4512616296936,357.18534081171777,{}
2,2,41,0,0.0666666666666666,43.68444561101827,172.47466291512012,25.30834664548326,34.552312604801386,48.27977748995985,52.875359603806594,32.50408151825022,135.91604132260605,101.36375802884726,79.51335971823084,71.76638461643995,74.81130302379529,40.919018905000144,62.60820694508618,25.68271564357929,15.529083877512903,27.60455888422465,27.79526622189604,27.72046873157853,78.4534938879782,66.4494886282115,97.74221063086156,400.00000000000006,393.1314575371093,378.1700072366867,358.666007305424,{}
3,3,41,0,0.0999999999999999,42.64916507561448,172.90034904230802,23.073975986807024,33.49489374954387,49.56054964441158,55.32045136140401,34.87369675757326,133.97957499817548,100.48468124863162,79.15075444594788,69.63496010901656,73.88387292922778,37.00094914267231,62.1993626736471,26.260641736027424,13.779460326657045,28.82952033181959,28.898518085865568,29.49158585972964,78.81143154711145,73.50029052184749,99.20143519228932,400.00000000000006,393.0572746985328,379.23515106505386,359.6895343024645,{}
4,4,41,0,0.1333333333333332,48.10069935532917,175.96103006894916,21.14365557157612,31.688364512424663,50.44571236547169,55.12343250401813,33.0274458150768,133.88870183336263,102.20536451430569,78.13247127583975,68.56736563076663,71.33015325691463,37.00461002295356,63.92085916860833,28.96740965597689,14.944169432346712,29.320974736179863,29.53133117785593,29.427874260335106,62.706907029846434,62.874348704158365,88.03326642226669,399.99999999999983,391.791424268492,377.743381810472,359.043925904915,{}
5,5,41,0,0.1666666666666665,41.58613873211981,161.74689256291848,21.857189258415865,30.619574090293533,43.714378516831616,49.17867583143558,29.58804730925672,123.61395172903606,92.9958548271979,72.17296279470474,63.1911183274492,64.76414189056482,34.43840900011867,59.58877428977985,27.52190844779352,13.298653405729285,27.343335026389703,27.408775889894702,26.80744354698902,70.67799001907179,64.96227081263658,83.08607366412315,400.0,392.3426354948781,374.85716808605207,349.74234855406365,{}
6,6,41,0,0.1999999999999998,19.534112601544333,170.694325674872,19.534112601544333,38.05400487177057,47.30428852115388,50.37744828819338,37.06907610818711,114.1620146153116,76.10800974354103,66.33077248031259,61.86795016941289,66.70245466922984,27.25405781003667,49.86077023666144,9.524026585517165,7.467912348953973,30.860466116010016,30.91180044500265,30.86280189959461,65.93800194025124,66.68136631808562,89.54016254284139,400.0,392.7869164523473,377.3518223529921,355.73984272302306,{}
7,7,41,0,0.2333333333333331,19.534112601544333,170.694325674872,19.534112601544333,38.05400487177057,47.30428852115388,50.37744828819338,37.06907610818711,114.1620146153116,76.10800974354103,66.33077248031259,61.86795016941289,66.70245466922984,27.25405781003667,49.86077023666144,9.524026585517165,7.467912348953973,30.860466116010016,30.91180044500265,30.86280189959461,65.93800194025124,66.68136631808562,89.54016254284139,400.0,392.7869164523473,377.3518223529921,355.73984272302306,{}
8,8,41,0,0.2666666666666664,11.50168501422244,169.81395882584735,20.85228926079257,33.33830282744389,44.82489326716224,47.94568027113469,35.419973664784834,101.00742245034311,67.69339580902349,61.954720070486815,57.88994916918102,63.9580336876453,25.52506980806936,40.08212970689374,4.561634964664222,4.577492328388416,31.308752950753103,31.39521749801948,32.29616411830682,63.038306591641,62.93787662138783,84.37211184430855,400.00000000000006,392.71332080551497,377.09933575169606,357.2677118788525,{}
9,9,41,0,0.2999999999999997,19.83427464407984,167.46801849284086,21.80164105546533,36.3360684257754,44.83418798484056,47.93618751450093,32.20011526958988,110.0904432371504,73.77608061377956,63.871876911385016,59.363986741217104,67.19944282893152,31.086263072946053,46.79932968596836,7.669472989689439,7.558817591006232,32.25028426693453,32.25028426693447,33.19398495262715,59.60110545268134,58.86340279479282,84.0984523045873,399.9999999999999,390.8002343561035,376.3360615943086,356.6393795126926,{}
10,10,41,0,0.333333333333333,21.7745832889814,167.75625124940808,22.708713323791315,40.26958677913382,44.6842672125631,48.78782207904186,32.01528578969856,116.71326358169684,76.4465979223654,65.57757383578019,59.59503076815713,67.06731869594557,31.316060232753102,53.38208779245917,9.757959743121091,7.364942516071778,31.12087423906276,32.06516681572357,32.42093251920261,60.254812323098406,61.94615710282915,83.60935360123196,400.0,393.0229431071113,377.5054590968763,356.90440039388267,{}
11,11,41,0,0.3666666666666663,29.722211157071936,167.33984268792557,21.51019582872652,39.99999999999996,44.23484273144205,48.413519314949774,31.76966281548865,122.9836721136484,82.99318557844991,68.13269886953162,59.33329189951314,66.38212628102076,31.08882456671506,60.12195458709925,16.608460466773067,8.106418116664031,32.92116763859582,32.84139730658825,33.73924835286533,59.85044776022539,60.29003024183078,81.96920653313735,400.0,394.9397962005738,378.5764535038345,357.10309848952545,{}
12,12,41,0,0.3999999999999997,32.61477305643075,163.27758037130246,19.36502150225571,33.6494237718166,46.98333596223147,50.10749684486774,40.78120447623768,126.39868342239096,92.75386077422648,76.44581225997172,62.69187662161562,67.5334274894235,24.331896668983404,61.28493021558609,23.01805701041178,5.467435114607838,32.757786145540344,31.66124870715748,32.566671221921865,57.96929548667049,57.44686318149036,86.63299093114414,400.0,393.0960763470034,375.86668769785166,356.4764715385727,{}
13,13,41,0,0.433333333333333,32.61477305643075,163.27758037130246,19.36502150225571,33.6494237718166,46.98333596223147,50.10749684486774,40.78120447623768,126.39868342239096,92.75386077422648,76.44581225997172,62.69187662161562,67.5334274894235,24.331896668983404,61.28493021558609,23.01805701041178,5.467435114607838,32.757786145540344,31.66124870715748,32.566671221921865,57.96929548667049,57.44686318149036,86.63299093114414,400.0,393.0960763470034,375.86668769785166,356.4764715385727,{}
14,14,41,0,0.4666666666666663,14.128401347737634,159.52892046517678,19.174258971929685,37.33934641902085,42.39721628776282,45.51352388853075,50.46866694819882,121.10478778896297,83.76731568752079,76.67294507201223,66.70469777650828,69.33435810599713,17.58203127274453,53.05186827515104,12.995414418985206,0.244619565533867,33.36376616980342,32.30925325209917,33.27590527402481,64.94649464923395,62.3474117654369,86.78875113610268,400.0000000000001,394.0940787401681,378.02466153420215,355.745487463542,{}
15,15,41,0,0.4999999999999996,9.07463242733654,156.38296178049762,17.036133627823855,34.07226725564794,38.09395286558442,41.09936503407065,56.15480721234682,116.2854279324186,82.22926791890629,77.65108339276321,67.49583497643084,70.71474252329733,12.997098396781098,47.12460403910836,10.14259547786196,2.935481725129762,34.131164909384175,33.13082095832544,34.05917977458694,60.58226939621159,61.73115620932265,85.18656279108623,400.0000000000001,391.1179157707508,373.13534685179593,349.0634892703007,{}
16,16,41,0,0.533333333333333,14.921202236162856,141.9476170761907,14.921202236162973,33.761075765817615,33.74648269153916,35.73156990868856,61.53770373163027,125.09593764404634,91.33558647517027,83.8762775093951,72.14033018323653,74.82802672391426,11.947228772683502,51.58952436717698,15.76994889818127,1.0441234275941724,34.79569685377333,33.80481719089818,35.24960691557965,62.08235062424694,61.94477200790516,83.37366312027325,399.99999999999983,394.0848120118938,376.23818396888805,348.524165909271,{}
17,17,41,0,0.5666666666666663,25.258703854138947,135.02441937407448,18.44464613754144,41.75443302911392,35.00164074036545,39.90801061031354,58.25434015602419,143.6773652967709,101.93093918114982,89.31091813967407,77.6616679475427,82.51552219426412,21.84234411024636,63.58549063205078,18.930031562213685,4.368468822049181,33.063263732524746,33.06326373252463,33.49159430237779,64.07087605672285,64.07087605672274,84.5072612607682,400.0,392.3115496450769,372.9579812657798,342.9913519305064,{}
18,18,41,0,0.5999999999999996,33.91174067667693,144.42518930472232,21.32925648776266,46.49864658820477,39.72078685757111,44.71965532731164,54.24529892577694,155.94240578162348,109.44610139134848,92.4928622162297,78.44944334570266,84.26051322316209,27.118326094810755,74.57539676072963,23.24427950983784,6.7795815237027455,34.98727376669947,33.953206036380465,35.3506750878783,92.00860639310804,89.10307145437821,108.47762800578208,399.9999999999999,395.1634336366079,373.8906564776601,342.9201459798639,{}
19,19,41,0,0.633333333333333,28.91566265060237,143.73084957672256,22.168674698795144,46.26506024096386,38.662498544831934,44.5046607445405,53.97590361445782,151.3253012048192,105.06024096385534,90.60240963855416,77.1084337349397,82.89156626506019,26.02409638554218,71.3253012048192,21.204819277108413,4.819277108433766,34.91232824342134,34.75230145025529,35.6626506024096,88.67469879518069,85.78313253012038,105.0646622259705,399.9999999999999,395.2230362301289,374.10009116764695,344.2596892366698,{}
20,20,41,0,0.6666666666666663,22.059242313379627,148.77144861345914,23.01833980526567,46.99577710241749,40.384724366082224,46.28577070262815,48.04111582119901,140.05779191976924,93.07694029155222,82.00283555625901,72.8914093833414,78.64599433465776,27.8138272646961,64.25953195636669,12.468267394518875,4.795487459430433,34.64718947648586,33.78692330898463,34.5275097078985,80.56418931842995,82.48238430220204,97.87024815021483,400.00000000000006,398.0300812624692,380.766535973514,351.0506452839504,{}
