,video_id,frame_seq,gap,time_seconds,m1,m3,m4,m5,m6,m7,m8,m9,m10,m11,m12,m13,m14,m15,m16,m17,e1,e2,e3,b1,b2,b3,m_0_16,m_1_15,m_2_14,m_3_13
0,7,0,0,0.0,21.0,84.0,8.0,10.0,21.0,22.0,11.0,50.0,40.0,29.5,25.0,25.0,14.0,25.0,14.0,6.0,6.082762530298219,6.082762530298219,6.0,27.0,27.0,33.0,173.0028901492689,172.00290695217916,168.01190434013895,164.01219466856725
1,7,1,0,0.0333666666666666,23.0,84.0,7.0,9.0,21.0,23.0,11.045361017187261,50.00999900019995,41.012193308819754,29.5,25.0,25.0,14.0,25.0,15.0,7.0,6.082762530298219,6.0,6.0,28.0,27.0,34.0,174.0028735394907,174.0028735394907,169.01183390520322,164.01219466856725
2,7,2,0,0.0667333333333332,22.0,85.0,8.0,10.0,21.02379604162864,22.0,12.0,52.0,42.0,31.0,26.0,26.0,14.0,26.0,15.0,6.0,6.0,6.0,6.0,29.0,28.0,34.0,174.01149387324966,173.0115603073968,169.01183390520322,165.00303027520434
3,7,3,0,0.1000999999999998,24.0,84.00595217006948,7.0,10.0,19.026297590440446,22.0,12.0,53.0,43.0,31.0,25.0,26.0,13.5,27.5,16.5,6.5,6.082762530298219,6.0,6.0,29.0,28.0,35.014282800023196,174.0028735394907,174.0028735394907,169.0,165.0
4,7,4,0,0.1334666666666664,26.0,84.00595217006948,8.0,9.055385138137417,20.0,23.0,11.0,54.00925846556311,45.0,32.0,26.0,25.0,14.5,28.5,17.5,7.5,6.082762530298219,7.0710678118654755,6.5,29.0,28.0,34.0147027033899,175.025712396779,174.0258601472781,169.01183390520322,164.02743672934722
5,7,5,0,0.166833333333333,27.0,83.0,7.0,10.0,20.0,22.0,12.0,56.0,46.0,32.5,26.0,26.0,14.0,30.0,18.0,7.0,6.082762530298219,7.0,6.5,31.0,29.0,36.013886210738214,174.01149387324966,174.01149387324966,168.01190434013895,164.01219466856725
6,7,6,0,0.2001999999999996,27.0,82.00609733428362,8.0,11.0,19.026297590440446,21.02379604162864,12.0,58.0,47.0,33.5,26.0,27.0,14.5,31.5,19.5,6.5,7.0710678118654755,8.06225774829855,7.5,32.0,29.0,35.014282800023196,176.00284088616297,175.0114281982751,170.00294115102832,164.01219466856725
7,7,7,0,0.2335666666666662,30.0,83.00602387778854,8.0,9.0,20.024984394500787,23.021728866442675,12.0,59.0,50.0,35.0,26.0,27.0,14.5,32.5,21.5,6.5,9.055385138137417,8.0,8.0,34.0,30.0,36.05551275463989,175.0114281982751,174.01149387324966,169.00295855398508,164.01219466856725
8,7,8,0,0.2669333333333328,31.0,83.00602387778854,7.0,10.0,20.024984394500787,21.0,12.0,60.0,50.0,34.5,26.0,27.0,14.5,33.5,21.5,7.5,8.06225774829855,8.06225774829855,8.0,35.0,31.0,36.013886210738214,175.04570831642803,175.04570831642803,170.0470523119998,165.07574019219177
9,7,9,0,0.3002999999999994,32.0,83.00602387778854,7.0,9.0,20.024984394500787,23.021728866442675,12.0,60.0,51.0,35.0,27.0,28.0,15.5,32.5,21.5,8.5,8.06225774829855,8.06225774829855,8.5,33.0,31.0,36.013886210738214,177.0706073858674,176.0454486773231,171.04677722775136,164.02743672934722
10,7,10,0,0.333666666666666,31.016124838541646,83.00602387778854,7.0,9.0,20.024984394500787,23.021728866442675,13.0,60.00833275470999,51.0098029794274,35.5,27.0,28.0,14.5,32.5,21.5,7.5,8.06225774829855,7.0,7.5,34.0,32.0,36.013886210738214,176.0113632695344,176.0113632695344,171.011695506477,165.01212076693034
11,7,11,0,0.3670333333333326,29.0,83.0,8.0,10.0,20.0,22.02271554554524,12.041594578792296,59.00847396772772,49.01020301937138,34.5,28.0,28.0,16.0,31.0,19.0,8.0,8.0,8.0,7.5,33.0,32.0,36.0,176.0113632695344,176.0113632695344,170.01176429882727,164.01219466856725
12,7,12,0,0.4003999999999992,26.0,82.0,8.0,11.045361017187261,20.024984394500787,22.02271554554524,12.041594578792296,57.0,46.010868281309364,33.0,27.0,27.0,15.0,30.0,17.0,7.0,8.06225774829855,8.06225774829855,8.5,32.0,32.0,36.0,177.0706073858674,176.0454486773231,170.02646852769718,164.01219466856725
13,7,13,0,0.4337666666666658,24.0,83.0,8.06225774829855,11.0,21.0,22.090722034374522,12.0,55.00909015790027,44.01136216933077,32.0,27.0,27.0,15.0,28.0,15.0,8.0,7.0710678118654755,7.0710678118654755,7.0,31.0,32.0,36.0,176.02556632489498,176.0113632695344,170.01176429882727,166.01204775557707
14,7,14,0,0.4671333333333324,23.021728866442675,85.0,7.0,11.0,20.0,22.02271554554524,12.041594578792296,53.03772242470448,42.04759208325728,30.5,26.0,26.0,14.0,27.0,15.0,7.0,7.0710678118654755,8.06225774829855,8.0,30.0,32.0,34.0,177.1383639983163,176.13914953808538,171.0730837975396,166.0752841334315
15,7,15,0,0.5004999999999991,22.02271554554524,83.00602387778854,7.0710678118654755,11.0,21.02379604162864,22.02271554554524,12.041594578792296,52.009614495783374,41.012193308819754,30.0,25.0,24.0,12.5,27.5,15.5,5.5,7.0710678118654755,8.06225774829855,7.5,30.0,31.0,34.0,178.02527910383964,177.02542190318317,172.02616080119907,166.01204775557707
16,7,16,0,0.5338666666666656,22.0,83.0,7.0,11.045361017187261,21.02379604162864,23.0,12.0,52.009614495783374,41.0,30.0,24.0,24.0,12.0,28.0,16.0,5.0,7.0,7.280109889280518,7.0,31.0,32.0,34.0,179.0111728356641,178.01123560045303,173.0115603073968,166.00301202086666
17,7,17,0,0.5672333333333321,21.02379604162864,82.00609733428362,7.0,11.0,21.02379604162864,23.0,12.0,51.0098029794274,40.01249804748511,29.5,25.0,24.0,12.5,26.5,14.5,5.5,7.0710678118654755,7.0,7.0,31.0,32.0,33.015148038438355,177.00282483621552,177.00282483621552,172.00290695217916,165.0
18,7,18,0,0.6005999999999987,21.02379604162864,81.0,7.0,11.0,21.0,22.0,12.0,51.0098029794274,40.01249804748511,29.5,24.0,24.0,12.0,27.0,15.0,5.0,7.0710678118654755,7.0,7.0,30.0,30.0,32.0,178.0028089666003,177.00282483621552,171.00292395160966,166.00301202086666
19,7,19,0,0.6339666666666652,20.0,81.00617260431454,8.0,11.0,20.024984394500787,22.0,12.041594578792296,51.0098029794274,40.01249804748511,30.0,24.0,25.0,12.5,26.5,14.5,4.5,7.0710678118654755,8.0,7.5,30.0,30.0,32.0,178.0028089666003,177.01129907438113,172.01162751395617,167.0269439342048
20,7,20,0,0.6673333333333318,19.026297590440446,81.00617260431454,7.0,12.0,20.024984394500787,22.02271554554524,13.152946437965905,51.0098029794274,39.01281840626232,29.5,24.0,25.0,11.5,26.5,13.5,4.5,8.06225774829855,8.06225774829855,8.0,31.0,30.0,32.0,176.0113632695344,176.0113632695344,171.0263137648707,166.02710622064097
21,7,21,0,0.7006999999999983,19.0,80.00624975587844,7.0,11.0,19.026297590440446,21.02379604162864,13.038404810405298,50.00999900019995,39.01281840626232,29.5,25.0,26.0,12.5,24.5,12.5,5.5,8.06225774829855,7.0710678118654755,7.5,31.0,31.0,32.01562118716424,178.0028089666003,178.0,173.0,167.0
22,7,22,0,0.7340666666666649,19.026297590440446,78.0,7.0,11.045361017187261,19.026297590440446,21.02379604162864,13.038404810405298,50.00999900019995,39.0,29.5,25.0,25.0,12.0,25.0,12.0,5.0,7.0710678118654755,8.06225774829855,8.0,30.0,31.0,33.0,178.0028089666003,178.0,173.0115603073968,167.0269439342048
23,7,23,0,0.7674333333333314,18.0,77.0,6.0,11.0,20.024984394500787,22.02271554554524,14.035668847618199,49.01020301937138,38.01315561749642,29.0,25.0,25.0,11.0,24.0,12.0,5.0,7.0,7.0710678118654755,7.0,29.0,30.0,34.0147027033899,177.0706073858674,178.02527910383964,172.02616080119907,167.0269439342048
24,7,24,0,0.800799999999998,16.0,76.0,8.0,12.0,18.027756377319946,19.026297590440446,14.0,50.0,38.0,30.0,26.0,26.0,12.0,24.0,11.0,4.0,7.0710678118654755,8.06225774829855,8.0,30.0,32.0,34.0147027033899,178.10109488714548,178.10109488714548,172.10461934532728,166.0752841334315
25,7,25,0,0.8341666666666645,14.0,75.0,8.0,13.0,18.027756377319946,20.0,14.0,49.0,36.0,29.0,26.0,26.0,12.0,23.0,9.0,4.0,7.0,7.0710678118654755,7.0,29.0,31.0,34.0147027033899,178.1796845883391,178.13758727455584,172.14238292762187,166.10839834276894
26,7,26,0,0.867533333333331,14.0,72.0,8.06225774829855,13.038404810405298,17.0,19.026297590440446,14.035668847618199,49.01020301937138,36.0,29.0,27.0,27.0,13.0,22.0,8.0,5.0,7.0710678118654755,8.06225774829855,8.0,28.0,31.0,34.0147027033899,177.1016657177453,177.1016657177453,171.04677722775136,165.0272704737008
27,7,27,0,0.9008999999999976,11.0,70.0,9.0,13.0,17.0,19.0,14.035668847618199,47.01063709417264,34.0147027033899,28.5,27.0,27.0,13.0,20.0,6.0,4.0,7.0,8.06225774829855,7.5,29.0,31.0,34.0,178.07021087200408,177.0706073858674,171.0263137648707,165.0272704737008
28,7,28,0,0.934266666666664,11.0,70.0,8.0,13.0,17.029386365926403,19.0,15.033296378372908,47.01063709417264,34.0147027033899,28.5,27.0,27.0,12.0,20.0,7.0,4.0,8.06225774829855,8.06225774829855,8.0,30.0,31.0,33.015148038438355,176.02556632489498,176.02556632489498,171.0263137648707,164.01219466856725
29,7,29,0,0.9676333333333308,10.04987562112089,69.00724599634447,8.06225774829855,13.0,17.029386365926403,18.0,15.132745950421556,46.04345773288535,33.06055050963308,28.0,26.0,27.0,11.5,19.5,5.5,3.5,8.06225774829855,8.06225774829855,8.0,29.0,30.0,34.0,177.01129907438113,177.00282483621552,170.00294115102832,164.0
30,7,30,0,1.0009999999999972,12.0,70.0,8.0,12.0,17.0,19.026297590440446,14.035668847618199,46.010868281309364,34.0147027033899,28.0,26.0,26.0,12.0,20.0,7.0,4.0,7.0710678118654755,8.06225774829855,8.0,29.0,31.0,34.0,176.02556632489498,176.0113632695344,171.00292395160966,164.00304875214974
31,7,31,0,1.0343666666666638,13.0,73.0,9.055385138137417,14.0,19.0,20.0,14.035668847618199,50.0,36.0,29.5,27.0,27.0,13.0,23.0,8.0,4.0,7.0,7.0710678118654755,7.5,29.0,31.0,33.015148038438355,177.02542190318317,176.0113632695344,170.01176429882727,164.00304875214974
32,7,32,0,1.0677333333333303,18.0,74.02702209328699,8.0,12.0,19.0,21.02379604162864,13.038404810405298,51.0098029794274,39.01281840626232,30.0,25.0,27.0,13.0,25.0,11.0,5.0,5.0990195135927845,6.082762530298219,5.5,29.0,31.0,34.0147027033899,176.02556632489498,176.02556632489498,170.01176429882727,164.00304875214974
33,7,33,0,1.1010999999999969,18.0,73.02739212103907,7.0,13.038404810405298,18.027756377319946,20.024984394500787,13.038404810405298,51.03920062069938,38.01315561749642,29.0,25.0,27.0,13.0,25.0,11.0,6.0,4.123105625617661,4.0,4.5,30.0,32.0,34.0,176.0113632695344,176.0113632695344,170.00294115102832,164.01219466856725
34,7,34,0,1.1344666666666634,16.0,73.02739212103907,7.0,13.0,17.029386365926403,18.027756377319946,13.038404810405298,49.01020301937138,36.013886210738214,28.0,25.0,27.0,13.0,23.0,9.0,5.0,4.0,5.0,5.0,30.0,31.0,33.015148038438355,177.04519197086375,177.02542190318317,171.0263137648707,164.01219466856725
35,7,35,0,1.16783333333333,15.0,72.02777242147643,8.0,12.0,17.029386365926403,19.026297590440446,13.0,48.0,36.0,28.5,25.0,27.0,13.0,22.0,8.0,5.0,5.0990195135927845,5.0,5.0,30.0,31.0,33.015148038438355,175.07141400011596,175.04570831642803,170.0470523119998,165.04847772699995
36,7,36,0,1.2011999999999965,16.0,72.0,7.0,12.0,17.0,19.0,13.038404810405298,48.010415536631214,36.013886210738214,28.0,26.0,26.0,13.0,22.0,9.0,6.0,5.0990195135927845,6.082762530298219,6.0,29.0,31.0,33.015148038438355,176.02556632489498,176.02556632489498,170.01176429882727,164.01219466856725
37,7,37,0,1.234566666666663,15.0,71.0,7.0710678118654755,13.0,17.0,19.0,13.152946437965905,48.010415536631214,35.014282800023196,27.5,26.0,26.0,13.0,22.0,8.0,6.0,6.082762530298219,7.0710678118654755,7.0,29.0,31.0,33.015148038438355,176.0454486773231,176.02556632489498,169.0266251216062,163.02760502442524
38,7,38,0,1.2679333333333296,13.0,70.0,8.0,14.0,18.0,19.0,13.0,48.0,34.0,27.5,27.0,27.0,14.0,21.0,7.0,6.0,8.06225774829855,7.0,7.0,29.0,31.0,33.0,175.04570831642803,174.0258601472781,169.01183390520322,163.01226947687098
39,7,39,0,1.301299999999996,16.0,69.00724599634447,8.0,13.0,19.0,20.0,13.0,50.0,37.0,29.0,27.0,26.0,13.5,23.5,9.5,5.5,8.06225774829855,8.06225774829855,8.0,28.0,30.0,32.01562118716424,175.10282693320517,174.04597093871493,169.04733065032408,162.04937519163718
40,7,40,0,1.334666666666663,13.0,70.00714249274856,8.0,14.035668847618199,18.0,19.0,14.0,49.01020301937138,35.0,28.5,27.0,26.0,12.5,22.5,7.5,5.5,8.0,8.06225774829855,8.0,28.0,30.0,33.0,175.18276170902203,175.13994404475525,170.14405661086138,162.15116404145854
41,7,41,0,1.3680333333333292,10.04987562112089,69.02897942168927,8.0,14.0,17.029386365926403,18.0,14.0,46.010868281309364,32.01562118716424,27.0,26.0,24.0,11.0,21.0,6.0,4.0,8.06225774829855,8.06225774829855,8.0,27.0,30.0,32.01562118716424,175.18276170902203,174.18381095842403,168.14577009250038,162.11107303327555
42,7,42,0,1.4013999999999958,8.06225774829855,69.02897942168927,8.0,13.038404810405298,17.029386365926403,17.029386365926403,14.035668847618199,43.01162633521314,30.0,26.0,26.0,24.0,11.0,18.0,4.0,3.0,7.0,8.246211251235321,8.0,27.0,30.0,32.0624390837628,174.18381095842403,175.18276170902203,169.14490828872147,163.11039206623224
43,7,43,0,1.4347666666666623,8.06225774829855,69.06518659932803,7.0710678118654755,13.0,17.029386365926403,18.0,16.1245154965971,44.0,31.0,27.0,27.0,24.0,9.5,18.5,4.5,3.5,8.06225774829855,8.06225774829855,8.5,27.0,30.0,32.0,175.13994404475525,175.13994404475525,169.14490828872147,161.11176245079065
44,7,44,0,1.4681333333333288,10.04987562112089,69.02897942168927,7.0,13.0,17.029386365926403,18.027756377319946,15.0,45.0111097397076,32.01562118716424,27.0,26.0,24.0,10.0,20.0,7.0,4.0,8.06225774829855,8.06225774829855,8.0,26.0,29.0,33.015148038438355,175.18276170902203,175.13994404475525,168.14577009250038,161.11176245079065
45,7,45,0,1.5014999999999954,13.0,70.06425622241343,7.0,13.038404810405298,17.029386365926403,19.0,14.0,47.01063709417264,34.0,27.5,27.0,24.0,11.5,21.5,8.5,4.5,8.06225774829855,9.055385138137417,9.0,27.0,30.0,32.01562118716424,176.1817243643619,175.18276170902203,169.14490828872147,162.11107303327555
46,7,46,0,1.534866666666662,15.033296378372908,70.06425622241343,7.0,13.0,18.027756377319946,20.0,15.0,50.00999900019995,37.013511046643494,29.5,28.0,25.0,11.5,23.5,10.5,5.5,8.06225774829855,8.06225774829855,8.0,27.0,31.0,32.0624390837628,174.23260314877925,174.14074767268,168.07438829280326,161.07762104029226
