,frame_seq,video_id,gap,time_seconds,m1,m3,m4,m5,m6,m7,m8,m9,m10,m11,m12,m13,m14,m15,m16,m17,e1,e2,e3,b1,b2,b3,label_measures,label_inf
0,0,6,0,0.0,8.0,51.03920062069938,6.0,7.071067811865476,14.0356688476182,15.033296378372908,17.0,38.01315561749642,31.0,27.0,29.0,27.0,11.0,10.0,3.0,6.0,5.0,4.0,4.0,12.0,17.0,20.09975124224178,{},{}
1,1,6,0,0.04,12.0,52.03844732503075,7.0,9.0,14.0,16.0,16.0312195418814,44.01136216933077,35.0142828000232,29.0,31.0,29.0,14.0,14.0,5.0,7.0,4.0,5.0,4.5,13.0,17.0,23.194827009486403,{},{}
2,2,6,0,0.08,15.0,52.08646657242167,7.071067811865476,8.0,15.033296378372908,16.0312195418814,16.0312195418814,46.04345773288535,38.05259518088089,30.5,33.0,30.0,15.5,14.5,6.5,9.5,5.0990195135927845,4.123105625617661,4.5,14.0,19.0,24.186773244895647,{},{}
3,3,6,0,0.12,16.0,53.08483775994799,7.071067811865476,8.0,15.0,16.0312195418814,16.0312195418814,47.042533945356304,39.05124837953327,31.0,34.0,31.0,16.5,14.5,6.5,9.5,5.0,5.0990195135927845,5.0,16.0,20.0,25.179356624028344,{},{}
4,4,6,0,0.16,16.0,53.150729063673246,7.071067811865476,8.0,15.033296378372908,17.029386365926403,16.0,47.01063709417264,39.01281840626232,31.0,34.0,30.0,16.0,15.0,7.0,10.0,5.0,4.123105625617661,4.5,15.0,19.0,25.079872407968907,{},{}
5,5,6,0,0.2,13.0,53.150729063673246,7.071067811865476,7.0,15.033296378372908,16.0312195418814,16.0312195418814,43.04648650006177,36.05551275463989,29.5,32.0,28.0,14.0,13.0,6.0,8.0,4.123105625617661,4.123105625617661,4.5,13.0,19.0,24.186773244895647,{},{}
6,6,6,0,0.24,10.0,55.14526271584895,6.0,7.071067811865476,16.0312195418814,16.0312195418814,17.029386365926403,40.049968789001575,33.015148038438355,28.0,31.0,27.0,12.0,11.0,4.0,7.0,5.0,4.123105625617661,4.5,13.0,18.0,23.194827009486403,{},{}
7,7,6,0,0.28,9.0,53.150729063673246,6.082762530298219,7.0,15.033296378372908,16.0312195418814,17.029386365926403,39.05124837953327,32.0624390837628,27.5,31.0,27.0,12.0,10.0,3.0,7.0,5.0990195135927845,4.0,4.5,14.0,19.0,23.194827009486403,{},{}
8,8,6,0,0.32,9.0,54.147945482723536,6.082762530298219,8.0,15.033296378372908,17.029386365926403,17.029386365926403,40.049968789001575,32.0624390837628,27.5,30.0,26.0,11.0,12.0,5.0,6.0,5.0990195135927845,4.123105625617661,4.0,14.0,19.0,22.20360331117452,{},{}
9,9,6,0,0.36,6.0,52.15361924162119,6.0,8.06225774829855,14.0356688476182,14.0356688476182,17.11724276862369,37.12142238654117,29.068883707497267,26.0,30.0,26.0,11.0,9.0,1.0,6.0,5.0990195135927845,5.0990195135927845,4.5,14.0,19.0,23.08679276123039,{},{}
10,10,6,0,0.3999999999999999,3.0,50.08991914547278,6.0,6.082762530298219,14.0356688476182,14.0,17.11724276862369,32.14031735997639,26.0768096208106,24.5,28.0,25.0,9.5,5.5,0.5,4.5,5.0990195135927845,4.123105625617661,4.0,13.0,18.0,23.08679276123039,{},{}
11,11,6,0,0.4399999999999999,2.0,50.039984012787215,5.0990195135927845,6.0,13.038404810405298,15.033296378372908,16.0312195418814,29.068883707497267,23.08679276123039,22.0,26.0,24.0,9.0,4.0,2.0,5.0,4.123105625617661,4.0,4.5,13.0,18.0,21.095023109728988,{},{}
12,12,6,0,0.4799999999999999,1.0,49.09175083453431,5.0,6.082762530298219,14.0,14.0356688476182,16.0312195418814,28.0713376952364,22.02271554554524,21.5,27.0,24.0,9.5,2.5,3.5,4.5,5.0,4.0,4.0,13.0,18.0,20.09975124224178,{},{}
13,13,6,0,0.5199999999999999,1.0,49.09175083453431,6.0,8.06225774829855,14.0356688476182,15.0,15.033296378372908,30.066592756745816,22.02271554554524,21.5,27.0,24.0,10.5,4.5,3.5,5.5,5.0,4.0,4.5,13.0,18.0,20.09975124224178,{},{}
14,14,6,0,0.5599999999999999,7.071067811865476,49.09175083453431,6.0,7.0,14.0356688476182,14.0356688476182,15.033296378372908,35.05709628591621,28.0713376952364,24.5,29.0,26.0,12.5,7.5,0.5,7.5,5.0990195135927845,4.123105625617661,4.5,13.0,18.0,19.1049731745428,{},{}
15,15,6,0,0.6,9.055385138137416,49.16299421312742,6.0,8.0,14.0,15.033296378372908,16.0312195418814,39.05124837953327,31.064449134018133,26.5,31.0,27.0,13.0,10.0,2.0,7.0,5.0,5.0990195135927845,5.0,12.0,17.0,20.09975124224178,{},{}
16,16,6,0,0.64,10.0,49.09175083453431,7.0,9.055385138137416,14.0356688476182,16.0312195418814,16.0312195418814,42.04759208325728,33.015148038438355,28.0,31.0,28.0,13.5,12.5,3.5,7.5,5.0,5.0990195135927845,5.0,12.0,17.0,21.095023109728988,{},{}
17,17,6,0,0.68,12.041594578792296,48.0936586256442,7.0,9.0,14.0356688476182,15.033296378372908,16.0312195418814,44.04543109109048,35.05709628591621,29.0,33.0,30.0,15.5,12.5,3.5,9.5,5.0990195135927845,5.0990195135927845,5.0,12.0,17.0,20.223748416156685,{},{}
18,18,6,0,0.7200000000000001,15.033296378372908,45.09988913511872,7.0,10.0,14.0356688476182,15.033296378372908,16.0312195418814,48.04164859785725,38.05259518088089,30.5,35.0,32.0,17.5,14.5,4.5,11.5,5.0990195135927845,5.0990195135927845,5.0,12.0,17.0,19.235384061671343,{},{}
